Time, Open, High, Low, Close, Volume
1537210800000, 204.7, 205.49, 203.79, 203.97, 10284.7118
1537212600000, 203.97, 204.53, 195.36, 197.62, 43378.55534
1537214400000, 197.6, 197.6, 192.4, 194.52, 41494.14716
1537216200000, 194.28, 195.8, 192.4, 194.88, 23572.72847
1537218000000, 194.8, 197.44, 194.53, 196.12, 16347.67347
1537219800000, 196.17, 198.34, 196.11, 196.92, 13392.4256
1537221600000, 196.92, 197.0, 194.13, 195.79, 17578.70535
1537223400000, 195.79, 197.5, 195.06, 195.45, 15339.66804
1537225200000, 195.49, 198.44, 195.49, 197.78, 13374.92309
1537227000000, 197.74, 198.2, 196.0, 196.16, 14074.17915
1537228800000, 196.25, 196.46, 193.47, 196.25, 15597.34045
1537230600000, 196.24, 197.56, 196.02, 196.86, 12764.44949
1537232400000, 196.79, 198.2, 196.29, 197.95, 11517.90104
1537234200000, 197.98, 198.0, 197.26, 197.55, 9497.76243
1537236000000, 197.57, 197.6, 195.74, 196.39, 10039.29834
1537237800000, 196.39, 197.42, 196.22, 196.96, 10137.18208
1537239600000, 196.95, 197.06, 195.0, 196.29, 19278.91086
1537241400000, 196.29, 196.74, 194.3, 194.7, 11642.64878
1537243200000, 194.76, 197.0, 194.5, 195.92, 12654.90329
1537245000000, 195.9, 197.5, 194.85, 196.41, 11873.32549
1537246800000, 196.49, 198.93, 196.43, 197.91, 12615.36428
1537248600000, 197.94, 198.03, 196.8, 197.57, 8255.06788
1537250400000, 197.56, 198.54, 196.46, 198.01, 13714.8853
1537252200000, 197.87, 198.16, 197.12, 197.7, 5742.18602
1537254000000, 197.68, 198.65, 197.68, 198.43, 7727.27112
1537255800000, 198.42, 201.1, 198.14, 200.21, 12078.95675
1537257600000, 200.22, 200.87, 198.0, 198.06, 14128.50987
1537259400000, 198.06, 199.17, 196.48, 197.27, 12720.12964
1537261200000, 197.33, 197.81, 196.07, 196.88, 13888.99546
1537263000000, 196.9, 197.76, 196.17, 197.62, 11998.34113
1537264800000, 197.62, 197.82, 196.93, 197.11, 8899.07683
1537266600000, 197.11, 197.31, 195.65, 196.13, 9870.82976
1537268400000, 196.13, 197.24, 195.15, 197.04, 14073.33604
1537270200000, 197.04, 199.88, 197.0, 199.75, 17646.11099
1537272000000, 199.7, 211.1, 198.23, 206.99, 43648.93905
1537273800000, 207.01, 210.0, 206.1, 207.65, 27433.22806
1537275600000, 207.66, 214.0, 207.66, 210.23, 33539.3574
1537277400000, 210.2, 212.8, 209.29, 211.64, 19477.39595
1537279200000, 211.71, 213.32, 209.88, 211.31, 15622.807
1537281000000, 211.29, 212.09, 210.21, 211.11, 20183.62845
1537282800000, 211.06, 215.47, 210.36, 210.59, 20901.03782
1537284600000, 210.65, 212.1, 209.0, 211.47, 8221.82236
1537286400000, 211.5, 213.29, 210.87, 211.7, 5868.85119
1537288200000, 211.68, 213.98, 211.21, 211.79, 10795.14069
1537290000000, 211.79, 212.22, 208.58, 210.04, 10048.41481
1537291800000, 210.11, 210.12, 207.66, 209.35, 9050.61458
1537293600000, 209.37, 210.72, 208.0, 208.82, 6762.20023
1537295400000, 208.74, 210.56, 208.56, 209.46, 5102.88761
